"","collection_date","Rweek","Date","N","Fjuv","Njuv","Nadult","Juv.tot","Adult.tot","Adult.pos","Juv.pos","Adult.neg","Juv.neg"
"1",2006-02-03,5,2006-02-01,NA,NA,NA,NA,0,0,0,0,0,0
"2",2007-07-25,81,2007-07-01,NA,0.43,NA,NA,43,57,23,6,34,37
"3",2007-12-11,101,2007-12-01,NA,0.21,NA,NA,21,79,29,16,50,5
"4",2008-07-19,133,2008-07-01,300,0.34,102,198,34,66,15,1,51,33
"5",2008-10-20,146,2008-10-01,288,0.43,123.84,164.16,43,57,17,9,40,34
"6",2009-02-14,163,2009-02-01,250,0.34,85,165,34,66,15,6,51,28
"7",2009-05-12,175,2009-05-01,233,0.19,44.27,188.73,19,81,24,6,57,13
"8",2009-09-01,191,2009-09-01,314,0.28,87.92,226.08,28,72,19,2,53,26
"9",2009-11-15,202,2009-11-01,243,0.5,121.5,121.5,50,50,28,32,22,18
"10",2010-02-13,215,2010-02-01,325,0.37,120.25,204.75,37,63,18,12,45,25
"11",2010-06-17,233,2010-06-01,325,0.28,91,234,28,72,20,0,52,28
"12",2010-09-19,246,2010-09-01,233,0.46,107.18,125.82,46,54,9,5,45,41
"13",2011-01-20,264,2011-01-01,267,0.292929292929293,78.2121212121212,188.787878787879,29,70,20,12,50,17
"14",2011-05-06,279,2011-05-01,250,0.177215189873418,44.3037974683544,205.696202531646,14,65,23,4,42,10
"15",2011-08-17,293,2011-08-01,200,0.484848484848485,96.969696969697,103.030303030303,48,51,13,3,38,45
"16",2011-12-18,311,2011-12-01,217,0.42,91.14,125.86,42,58,24,25,34,17
"17",2012-04-28,330,2012-04-01,183,0.191011235955056,34.9550561797753,148.044943820225,17,72,17,5,55,12
"18",2012-07-11,340,2012-07-01,167,0.63,105.21,61.79,63,37,10,0,27,63
"19",2012-11-15,359,2012-11-01,166.6666667,0.23,38.333333341,128.333333359,23,77,5,1,72,22
